id,geo_point_2d,code_com,xlong,ylat,capacite,capacite_cargo,mobilier,protection,couverture,acces,surveillance,lumiere,url_info,d_service,source,proprietaire,gestionnaire,date_maj,commentaires,nom_local,commune_local,adresse_local,type,code,epci,lon,lat
1,"45.20211490483794,5.735491755164916",38516.0,5.735491755164916,45.20211490483794,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,CHARPENNAY 2,LA TRONCHE,Quai Charpennay,stationnementcyclable,0,LaMetro,5.73549,45.20211
2,"45.152786,5.719049",38151.0,5.719049,45.152786,70,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,mobilier,GARE ECHIROLLES,ECHIROLLES,,stationnementcyclable,1,LaMetro,5.71905,45.15279
3,"45.2021837442768,5.735632849848395",38516.0,5.735632849848395,45.2021837442768,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,CHARPENNAY 1,LA TRONCHE,Quai Eugène Charpennay,stationnementcyclable,2,LaMetro,5.73563,45.20218
4,"45.18939478108618,5.734100307170421",38185.0,5.734100307170421,45.18939478108618,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,VILLARS-HEBERT,GRENOBLE,3b rue Dominique Villars,stationnementcyclable,3,LaMetro,5.7341,45.18939
5,"45.18854151429166,5.734765597708225",38185.0,5.734765597708225,45.18854151429166,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,VILLARS-FAURE,GRENOBLE,9 rue Dominque Villars,stationnementcyclable,4,LaMetro,5.73477,45.18854
6,"45.191689,5.714446",38185.0,5.714446,45.191689,101,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,batiment,BELLEDONNE,GRENOBLE,sous-sol gare,stationnementcyclable,5,LaMetro,5.71445,45.19169
7,"45.1987205458914,5.750121361405969",38516.0,5.750121361405969,45.1987205458914,35,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,batiment,GRAND SABLON P+R,LA TRONCHE,4 avenue de l'Obiou,stationnementcyclable,6,LaMetro,5.75012,45.19872
8,"45.118527,5.692959",38111.0,5.692959,45.118527,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,PONT ROUGE,CLAIX,23B av de la Liberation,stationnementcyclable,7,LaMetro,5.69296,45.11853
9,"45.201588,5.838257",38150.0,5.838257,45.201588,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,DOMENE MAIRIE,DOMENE,1 avenue de la gareDomène,stationnementcyclable,8,LaMetro,5.83826,45.20159
10,"45.147052,5.754631",38158.0,5.754631,45.147052,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,VERDERET P+R,EYBENS,27 Av de la République terminus C4,stationnementcyclable,9,LaMetro,5.75463,45.14705
11,"45.153353,5.748596",38158.0,5.748596,45.153353,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,ODYSSEE,EYBENS,87-91 Av Jean Jaurés arret C4,stationnementcyclable,10,LaMetro,5.7486,45.15335
12,"45.206848680288886,5.827422424524326",38485.0,5.827422424524326,45.206848680288886,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,CHENEVIERES,DOMENE,Rue Aristide Bergès - arrêt Chenevières,stationnementcyclable,11,LaMetro,5.82742,45.20685
13,"45.147326527575274,5.755323859526279",38158.0,5.755323859526279,45.14732652757528,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,VELODROME,EYBENS,Avenue des maquis de l'Oisans - pk Velodrome,stationnementcyclable,12,LaMetro,5.75532,45.14733
14,"45.258877,5.908987",38175.0,5.908987,45.258877,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,JEAN MOULIN,FROGES,,stationnementcyclable,13,LeGresivaudan,5.90899,45.25888
15,"45.26448,5.878298",38039.0,5.878298,45.26448,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,CLOYERES,BERNIN,Parking des Cloyères,stationnementcyclable,14,LeGresivaudan,5.8783,45.26448
16,"45.302397,5.907408",38214.0,5.907408,45.302397,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,LONGS PRES,LUMBIN,,stationnementcyclable,15,LeGresivaudan,5.90741,45.3024
17,"45.182431491843744,5.731497239417079",38185.0,5.731497239417079,45.182431491843744,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,CHAMPON,GRENOBLE,10 avenue Général Champon,stationnementcyclable,16,LaMetro,5.7315,45.18243
18,"45.1964058622073,5.73112073372301",38185.0,5.73112073372301,45.1964058622073,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,CHEVALIER-JOUVIN,GRENOBLE,1 rue André Chevalier,stationnementcyclable,17,LaMetro,5.73112,45.19641
19,"45.1950122869931,5.719147962339107",38185.0,5.719147962339107,45.1950122869931,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,LYON,GRENOBLE,22-24 route de Lyon,stationnementcyclable,18,LaMetro,5.71915,45.19501
20,"45.190567310040215,5.722910652887715",38185.0,5.722910652887715,45.190567310040215,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,AUGIER,GRENOBLE,6 rue Augier,stationnementcyclable,19,LaMetro,5.72291,45.19057
21,"45.184820765126545,5.750746509634934",38421.0,5.750746509634934,45.18482076512655,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,CROIZAT,SAINT-MARTIN-D'HERES,81 avenue Ambroise Croizat,stationnementcyclable,20,LaMetro,5.75075,45.18482
22,"45.20562268786962,5.758016888919268",38229.0,5.758016888919268,45.20562268786962,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-03-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,PLAINE FLEURIE,MEYLAN,20 avenue de la Plaine Fleurie,stationnementcyclable,21,LaMetro,5.75802,45.20562
23,"45.185037,5.785302",38179.0,5.785302,45.185037,70,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,mobilier,GIERES 1 - GARE,GIERES,Rue de la gare,stationnementcyclable,22,LaMetro,5.7853,45.18504
24,"45.18574140361437,5.784900711190701",38179.0,5.784900711190701,45.18574140361437,106,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,batiment,GIERES 2 - TRAM,GIERES,5 rue du Grand Mas,stationnementcyclable,23,LaMetro,5.7849,45.18574
25,"45.185503808663924,5.785186604293254",38179.0,5.785186604293254,45.18550380866392,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,GIERES GARE,GIERES,Passage de la Gare,stationnementcyclable,24,LaMetro,5.78519,45.1855
